,action,left,light,next_waypoint,oncoming,reward,right
385,forward,None,green,forward,None,2.0,None
386,left,None,green,forward,None,0.5,None
387,forward,None,green,forward,None,2.0,None
388,left,None,red,forward,None,-1.0,None
389,left,None,red,forward,None,-1.0,None
390,right,None,red,forward,None,0.5,None
391,None,None,red,left,None,1.0,None
392,left,None,green,left,None,2.0,None
393,right,None,red,forward,None,0.5,None
394,None,None,red,left,None,1.0,None
395,left,None,red,left,None,-1.0,None
396,None,None,red,left,None,1.0,None
397,None,None,green,left,None,1.0,None
398,forward,None,green,left,None,0.5,None
399,right,None,green,left,None,0.5,None
400,forward,None,green,right,None,0.5,None
401,right,None,green,right,None,2.0,None
402,left,None,red,right,None,-1.0,None
403,right,None,red,right,None,2.0,None
404,left,None,green,forward,None,0.5,None
405,None,None,green,right,None,1.0,None
406,forward,None,green,right,None,0.5,None
407,None,None,green,right,None,1.0,None
408,forward,None,green,right,None,0.5,None
409,forward,None,green,right,None,0.5,None
410,right,None,green,right,None,2.0,left
411,None,None,red,forward,None,1.0,None
412,forward,None,green,forward,None,2.0,None
413,right,None,green,forward,None,0.5,None
414,None,None,green,left,None,1.0,None
415,left,None,green,left,None,2.0,None
416,None,None,green,forward,None,1.0,None
417,right,None,green,forward,None,0.5,None
418,forward,None,red,left,forward,-1.0,None
419,None,None,red,left,forward,1.0,None
420,left,None,green,left,None,2.0,None
421,left,None,green,forward,None,0.5,None
422,None,forward,green,right,None,1.0,None
423,None,None,red,right,None,1.0,None
424,None,None,red,right,None,1.0,None
425,forward,None,red,right,None,-1.0,None
426,forward,None,green,right,None,0.5,None
427,None,None,red,right,None,1.0,None
428,forward,None,red,right,None,-1.0,None
429,left,None,red,right,None,-1.0,None
430,forward,None,red,right,None,-1.0,None
431,right,None,red,right,None,2.0,None
432,None,None,red,forward,None,1.0,None
433,right,None,red,forward,None,0.5,None
434,right,None,red,left,None,0.5,None
435,right,None,green,right,None,2.0,left
436,left,None,green,right,None,0.5,None
437,None,None,green,right,None,1.0,None
438,left,None,red,right,None,-1.0,None
439,forward,None,red,right,None,-1.0,None
440,left,None,red,right,left,-1.0,None
441,left,None,green,right,left,0.5,None
442,left,None,green,left,None,2.0,None
443,forward,None,green,forward,None,2.0,None
444,None,None,green,forward,None,1.0,None
445,left,None,green,forward,None,0.5,None
446,right,None,green,right,None,2.0,None
447,right,None,red,right,None,2.0,None
448,left,None,green,forward,None,0.5,None
449,forward,None,red,forward,None,-1.0,None
450,right,None,red,forward,None,0.5,None
451,left,None,green,left,None,2.0,right
452,left,None,green,forward,None,0.5,None
453,forward,None,red,right,None,-1.0,None
454,forward,None,green,right,None,0.5,None
455,None,None,red,right,None,1.0,None
456,right,None,red,right,None,2.0,None
457,forward,None,red,forward,None,-1.0,None
458,right,None,red,forward,None,0.5,None
459,right,None,red,left,None,0.5,None
460,forward,None,green,right,None,0.5,None
461,None,None,red,right,None,1.0,None
462,left,None,green,right,None,0.5,None
463,left,None,green,left,None,2.0,None
464,left,None,green,forward,None,0.5,None
465,right,None,green,right,None,2.0,None
466,forward,None,red,forward,None,-1.0,None
467,forward,None,green,forward,None,2.0,None
468,left,None,red,forward,None,-1.0,None
469,forward,None,red,forward,None,-1.0,None
470,left,None,red,forward,None,-1.0,None
471,forward,None,green,forward,None,2.0,None
472,forward,None,green,forward,None,2.0,None
473,forward,None,green,forward,None,2.0,None
474,left,None,green,forward,None,0.5,None
475,forward,None,green,right,None,0.5,None
476,forward,None,green,right,None,0.5,None
477,right,None,red,right,None,2.0,None
478,None,None,green,left,None,1.0,None
479,right,None,green,left,None,0.5,None
480,right,None,green,right,None,2.0,None
481,left,None,green,right,None,0.5,None
482,forward,None,green,left,None,0.5,None
483,None,None,red,left,None,1.0,None
484,None,None,red,left,None,1.0,None
485,right,None,red,left,None,0.5,None
486,None,None,red,right,None,1.0,None
487,forward,None,red,right,None,-1.0,None
488,right,None,red,right,None,2.0,None
489,right,None,red,right,None,2.0,None
490,right,None,green,forward,None,0.5,None
491,None,None,red,left,None,1.0,None
492,left,None,red,left,None,-1.0,None
493,forward,None,red,left,None,-1.0,None
494,left,None,green,left,None,2.0,None
495,forward,None,red,right,None,-1.0,None
496,left,left,red,right,None,-1.0,None
497,None,left,red,right,None,1.0,forward
498,None,left,green,right,None,1.0,forward
499,right,left,green,right,None,2.0,forward
500,right,None,red,forward,None,0.5,None
501,right,None,red,right,None,2.0,None
502,left,None,green,right,None,0.5,None
503,None,None,green,right,None,1.0,None
504,forward,None,red,right,None,-1.0,None
505,left,None,red,right,None,-1.0,None
506,right,None,red,right,None,2.0,None
507,right,None,red,right,None,2.0,None
508,None,None,green,forward,None,1.0,None
509,None,None,green,forward,None,1.0,None
510,right,None,green,forward,None,0.5,None
511,forward,None,green,left,None,0.5,None
512,forward,None,red,left,None,-1.0,None
513,left,None,red,left,None,-1.0,None
514,forward,None,red,left,None,-1.0,None
515,None,None,red,left,None,1.0,None
516,forward,None,red,left,None,-1.0,None
517,None,None,green,left,None,1.0,None
518,left,None,green,left,None,2.0,None
519,left,None,green,right,None,0.5,None
520,None,None,green,right,None,1.0,None
521,right,None,green,right,None,2.0,None
522,right,None,green,forward,None,0.5,None
523,None,None,green,left,None,1.0,None
524,left,None,green,left,None,2.0,None
525,None,None,green,forward,None,1.0,None
526,left,None,green,forward,None,0.5,None
527,right,None,green,right,None,2.0,None
528,forward,None,green,forward,None,2.0,None
529,None,None,red,forward,None,1.0,None
530,left,None,red,forward,None,-1.0,None
531,forward,None,green,forward,None,2.0,None
532,right,None,red,forward,None,0.5,None
533,left,None,red,left,None,-1.0,None
534,None,None,green,left,None,1.0,None
